Restaurant ID,Restaurant Name,City,State,Owner Name,Veg or Non-Veg
RES0001,Tandoor Treats 1,Ahmedabad,Gujarat,Neha Pandey,Veg
RES0002,Zaika 2,Guntur,Andhra Pradesh,Deepak Agarwal,Non-Veg
RES0003,Bistro India 3,Kota,Rajasthan,Rajesh Kumar,Both
RES0004,Desi Bites 4,Patiala,Punjab,Rita Kapoor,Non-Veg
RES0005,Chaat House 5,Patna,Bihar,Rajesh Kumar,Non-Veg
RES0006,Grill & Curry 6,Visakhapatnam,Andhra Pradesh,Pooja Verma,Non-Veg
RES0007,Southern Flavours 7,Vijayawada,Andhra Pradesh,Rajesh Kumar,Veg
RES0008,Taste Buds 8,Nizamabad,Telangana,Neha Pandey,Non-Veg
RES0009,Chaat House 9,Patna,Bihar,Pooja Verma,Veg
RES0010,Grill & Curry 10,Siliguri,West Bengal,Rajesh Kumar,Both
RES0011,Bistro India 11,Mangalore,Karnataka,Pooja Verma,Both
RES0012,Dilli Darbar 12,New Delhi,Delhi,Suresh Gupta,Both
RES0013,Urban Curry House 13,Kolkata,West Bengal,Anil Sharma,Non-Veg
RES0014,The Curry House 14,Lucknow,Uttar Pradesh,Neha Pandey,Both
RES0015,Tandoori House 15,Surat,Gujarat,Vikram Mehta,Veg
RES0016,Indian Masala 16,Kanpur,Uttar Pradesh,Rita Kapoor,Non-Veg
RES0017,Annapurna Bhavan 17,Muzaffarpur,Bihar,Anil Sharma,Both
RES0018,The Veggie Delight 18,Amritsar,Punjab,Rajesh Kumar,Non-Veg
RES0019,Swaad Sagar 19,Chennai,Tamil Nadu,Sanjay Rao,Both
RES0020,Rajasthan Royals 20,Mysore,Karnataka,Anil Sharma,Veg
RES0021,Bombay Bites 21,Gaya,Bihar,Neha Pandey,Both
RES0022,South Indian Spice 22,Nashik,Maharashtra,Anita Singh,Veg
RES0023,Veggie Hut 23,Vadodara,Gujarat,Anita Singh,Both
RES0024,Chopsticks & Curry 24,Agra,Uttar Pradesh,Sanjay Rao,Non-Veg
RES0025,Royal Dine 25,Amritsar,Punjab,Suresh Gupta,Non-Veg
RES0026,Saravana Bhavan 26,New Delhi,Delhi,Anil Sharma,Veg
RES0027,Rasoi Royale 27,Lucknow,Uttar Pradesh,Sanjay Rao,Non-Veg
RES0028,Bistro India 28,Vadodara,Gujarat,Pooja Verma,Non-Veg
RES0029,Chaat Bazaar 29,Warangal,Telangana,Vikram Mehta,Veg
RES0030,Biryani Junction 30,Mumbai,Maharashtra,Vikram Mehta,Non-Veg
